ANP,Location,Site code,Sensor,Manufacturer,Model,Installation date,Installation status,Latitude,Longitude,,,,
RBMNN,Pimientillo,RBMNN-PI-01,Forest survey,,,,,22.03438,-105.433681,,,,
RBMNN,Pimientillo,RBMNN-PI-01,Weather station,Davis Instrument,Vantage Pro2,11/12/2024,,22.034615,-105.433896,,,,
RBMNN,Pimientillo,RBMNN-PI-02,Terrestrial camera,Reconyx,Hyperfire 2,12/5/2025,,22.050039,-105.455507,,,,
RBMNN,Pimientillo,RBMNN-PI-02,Underwater datalogger,Van Essen Instruments,CTD-Diver,02/28/2025,,22.050002,-105.455418,,,,
RBMNN,Pimientillo,RBMNN-PI-02,Weather station,Davis Instrument,Vantage Pro2,11/12/2024,,22.050163,-105.455462,,,,
RBMNN,Pimientillo,RBMNN-PI-02,Soil sample,,,,,22.050356,-105.455708,,,,
RBMNN,Pimientillo,RBMNN-PI-02,Forest survey,,,,,22.050356,-105.455708,,,,
RBMNN,Pimientillo,RBMNN-PI-03,Soil sample,,,,,22.033685,-105.445901,,,,
RBMNN,Pimientillo,RBMNN-PI-03,Forest survey,,,,,22.033685,-105.445901,,,,
RBMNN,Pimientillo,RBMNN-PI-03,Drone Lidar,,,,,22.033685,-105.445901,,,,
RBMNN,Pimientillo,RBMNN-PI-03,Flux Tower,,,,,22.033685,-105.445901,,,,
RBMNN,Puerta del Río,RBMNN-PR-01,Weather station,Ambient Weather,WS2902,07/22/2024,,22.38557,-105.643097,,,,
RBMNN,Santiago Ixcuintla,RBMNN-SI-01,Weather station,Ambient Weather,WS2902,07/15/2025,,21.809318,-105.209272,,,,
RBMNN,Toromocho,RBMNN-T-01,Underwater datalogger,Van Essen Instruments,CTD-Diver,12/12/2024,,21.751194,-105.466465,,,,
RBMNN,Toromocho,RBMNN-T-01,Weather station,Davis Instrument,Vantage Pro2,12/14/2024,,21.751178,-105.466453,,,,
RBMNN,Toromocho,RBMNN-T-01,Soil sample,,,,,,,,,,
RBMNN,Toromocho,RBMNN-T-01,Forest survey,,,,,,,,,,
RBMNN,Unión de Corrientes,RBMNN-UC-01,Underwater datalogger,Van Essen Instruments,CTD-Diver,01/29/2025,,21.978382,-105.48481,,,,
RBMNN,Unión de Corrientes,RBMNN-UC-01,Weather station,Davis Instrument,Vantage Pro2,08/27/2024,,21.978481,-105.484677,,,,
RBMNN,Unión de Corrientes,RBMNN-UC-01,Soil sample,,,,,21.97866,-105.484774,,,,
RBMNN,Unión de Corrientes,RBMNN-UC-01,Forest survey,,,,,21.97866,-105.484774,,,,
RBMNN,Unión de Corrientes,RBMNN-UC-01,Drone Lidar,,,,,21.97866,-105.484774,,,,
RBMNN,Unión de Corrientes,RBMNN-UC-02,Terrestrial camera,Browning,BTC-6PX-1080,05/13/2025,,21.984982,-105.492784,,,,
RBMNN,Unión de Corrientes,RBMNN-UC-02,Underwater datalogger,Van Essen Instruments,CTD-Diver,01/29/2025,,21.984881,-105.492637,,,,
RBMNN,Unión de Corrientes,RBMNN-UC-02,Weather station,Davis Instrument,Vantage Pro2,08/27/2024,,21.984843,-105.492712,,,,
RBMNN,Unión de Corrientes,RBMNN-UC-02,Soil sample,,,,,21.984752,-105.492759,,,,
RBMNN,Unión de Corrientes,RBMNN-UC-02,Forest survey,,,,,21.984752,-105.492759,,,,
RBMNN,Unión de Corrientes,RBMNN-UC-02,Drone Lidar,,,,,21.984752,-105.492759,,,,
RBMNN,Unión de Corrientes,RBMNN-UC-03,Weather station,Ambient Weather,WS2902,01/30/2025,,21.976185,-105.431869,,,,
RBRL,El Cuyo,RBRL-EC-01,Weather station,Davis Instrument,Vantage Pro2,3/10/2024,Installed,21.48434704,-87.64533696,,,,
RBRL,El Cuyo,RBRL-EC-01,Soil sample,,,,Upcoming,21.48434704,-87.64533696,,,,
RBRL,El Cuyo,RBRL-EC-01,Forest survey,,,,Upcoming,21.48434704,-87.64533696,,,,
RBRL,El Cuyo,RBRL-EC-01,Dron Lidar,,,05/30/2025,Executed,21.48434704,-87.64533696,,,,
RBRL,El Cuyo,RBRL-EC-02,Underwater datalogger,Van Essen Instruments,CTD-Diver,12/19/2024,Installed,21.5115964,-87.67772971,,,,
RBRL,El Cuyo,RBRL-EC-02,Weather station,Davis Instrument,Vantage Pro2,3/10/2024,Installed,21.5115964,-87.67772971,,,,
RBRL,El Cuyo,RBRL-EC-02,Soil sample,,,,Upcoming,21.51160974,-87.67790031,,,,
RBRL,El Cuyo,RBRL-EC-02,Forest survey,,,,Upcoming,21.51160974,-87.67790031,,,,
RBRL,El Cuyo,RBRL-EC-03,Underwater datalogger,Davis Instrument,CTD-Diver,05/29/2025,Installed,21.486177,-87.537974,,,,
RBRL,El Cuyo,RBRL-EC-03,Weather station,Davis Instrument,Vantage Pro2,4/10/2024,Installed,21.4863119,-87.53794379,,,,
RBRL,El Cuyo,RBRL-EC-03,Soil sample,,,,Upcoming,21.4863119,-87.53794379,,,,
